imagen,codigo,articulo,descripcion,precio
7,EAR007,Dorado / remaches,"Pendientes grandes de borla de remache, pinzas para orejas sin perforar.. Ear cuff de cadena con borlas metalicas.",$9.99
28,EAR0028,Plata antigua,"Ear cuff vintage de hoja de plata., clip para oreja sin perforación.",$9.99
29,CJA0029,Plateado,"Conjunto de 3 pendientes: arete, colgante y ear cuff",$4.99
30,EAR0030,Dorado,"Ear cuff, aretes Metálicos, clip para oreja sin perforación. Varios diseños a escoger.",$3.99
31,EAR0031,Dorado,"Ear cuff, Aretes de Clip de Hierro Duradero con Baño de Oro, clip para oreja sin perforación. Ear cuff diseño minimal con baño de oro.",$9.99
32,EAR0032,5PC/set-rosa dorado / Exquisito,"Ear cuff, Clip para orejas sin Perforación. Modelos variados a escoger.
Disponibles en color: rose gold, plateado, dorado.",$3.99
33,ARE0033,Plateado,Pendiente con baño en Oro de 14K y Brillantes Circonitas.,$7.99
34,EAR0034,Soltero dorado,Pendientes de estrella de cobre. NO COINCIDEN LAS IMAGENES.,$9.99
35,EAR0035,Amarillo dorado,Ear Cuff De Cobre. NO COINCIDE CON LA IMAGEN.,$9.99
36,EAR0036,Amarillo Dorado 5753601,"Ear cuff, aretes de clip para orejas sin perforación. Varios modelos a escoger",$3.99
37,EAR0037,Dorado / Talla única,"Ear cuff, aretes de clip para orejas sin perforación. Varios modelos a escoger",$3.99
38,EAR0038,Dorado / Rombo,"Pendiente trepador, clip para orejas sin perforar.",$14.99
39,ARL0039,5 piezas,"Juego de arete para nariz, oreja, labio, sin perforación, Acero Inoxidable.
Disponible en color: plateado, negro, dorado, tornasol y rose gold.",$1.99
40,ARL0040,Plateado,"Arete para labio, sin perforación, acero Inoxidable con cristales.
Disponible en color: plateado y dorado.",$6.99
41,ARN0041,Dorado / 1 PC,"Arete de nariz, sin perforación, de cobre, flexible, en forma de U.",$7.99
42,ARN0042,MC318-10,Arete de Nariz sin Perforación.,$7.99
43,ARN0043,Pétalo / Dorado,Arete de Nariz sin Perforación.,$7.99
46,ARN0046,un pedazo de plata,Arete de Nariz sin Perforación.,$7.99
47,ARN0047,Dorado,Arete de Nariz sin Perforación.,$7.99
63,EAR0063,Oreja Izquierda Plateada,"Pendiente trepador, clip para orejas sin perforar. Oreja izquierda. Disponible en color: dorado y plateado.",$14.99
73,ARE0073,Dorado,Pendientes de metal Con Baño De Oro,$9.99
120,EAR00120,Dorado y Plateado,"Ear cuff de mariposas, aleación de zinc",$14.99
121,EAR00121,Plateado,Ear cuff de mariposas con Brillantes y piedras.,$14.99
