imagen,codigo,descripcion,articulo,precio
1,PUL001,Anillo y pulsera integrados con diseño de cadena fina.,Dorado,$9.99
64,PUG0064,Pulsera de flores caladas,Dorado,$14.99
67,PUG0067,Pulsera dorada cuadrada geométrica,Pulsera / 1 PC,$14.99
68,PUG0068,Pulsera de Alas caladas,Amarillo dorado,$14.99
69,PUG0069,"Pulsera Brazalete Hierro martilado, con baño en Oro",Dorado,$14.99
72,PUM72,Pulsera ajustable de hierro con diseño espiral geométrico.,Amarillo dorado,$14.99
74,PUG0074,Pulsera Brazalete diagonal ajustable.,Dorado,$14.99
76,PUG0076,Pulsera grande de metal martillado,Dorado,$14.99
77,PUM77,Pulsera ajustable de metal.,Amarillo dorado,$14.99
78,BRZ0078,"Brazalete de diseño geométrico, ajustable.",Dorado,$14.99
79,BRZ0079,Brazalete bañado En Oro,Dorado,$14.99
80,BRZ0080,Conjunto de brazaletes minimalistas.,Policromo,$14.99
81,PUL0081,Pulsera Ajustable con brillos. Disponible en dorado y plateado.,Plateado,$14.99
82,BRA0082,"Pulsera Ajustable De Metal, Con Estilo Minimalista en espiral con brillo, para la parte superior del brazo, estilo boho chic. Brazalete ajustable en espiral con brillos. Boho chic.",Dorado / Talla única,$14.99
83,BRZ0083,"Pulsera ajustable en forma de hoja. para la parte superior del brazo, estilo boho chic. Brazalete ajustable en forma de hoja. Boho chic.",Amarillo dorado 1,$14.99
84,BRZ0084,"Brazalete ajustable en forma de espiral, para la parte superior del brazo, estilo boho chic. Brazalete ajustable de espirales. Boho chic.",Dorado,$14.99
86,PUG0086,Pulsera minimalista geométrica ,Plateado,$14.99
127,PUL00127,Pulsera De Cadena Ajustable Con Anillo De Mariposa. Joyas para La Mano,dorada,$14.99
128,PUL00128,Pulsera De Cadena Ajustable Con Anillo De Mariposa. Joyas para el brazo y mano,,$19.99
