item,articulo,descripcion,precio
1,PULSERA COMPLETA,Anillo y pulsera integrados con diseño de cadena fina.,$9.95
2,CADENA ESPALDA,Collar con espalda de circonita cúbica,$12.68
3,CADENA CUERPO,Cadena De Hombro Con Borlas,$15.10
4,CADENA CUERPO,"Cadena Corporal con Flecos Estilo Punk, collar ajustable para Espalda y Pecho",$10.83
5,CADENA ESPALDA,Cadena De Cuerpo Con Colgante De Perla,$9.18
6,CADENA ESPALDA,Cadena de espalda con diseño de perlas,$7.18
7,ARETE TREPADOR,"Pendientes grandes de borla de remache, pinzas para orejas sin perforar.",$9.95
8,ANILLO DE PIE,"Anillo de dedo del pie, ajustable.",$8.70
9,TOBILLERA COMPLETA,Tobillera Minimalista Con Anillo Para El Dedo Del Pie.,$7.35
10,ANILLO TELEFONO,"Soporte de teléfono celular de metal, que gira en 360 grados.",$9.45
11,ANILLO TELEFONO,"Soporte de teléfono celular de metal, que gira en 360 grados.",$9.45
12,ANILLO TELEFONO,Soporte de teléfono celular.,$9.10
12,ANILLO TELEFONO,Soporte de teléfono celular.,$9.10
13,ANILLO TELEFONO,Soporte de teléfono celular de metal.,$9.45
12,ANILLO TELEFONO,Soporte de teléfono celular.,$9.45
12,ANILLO TELEFONO,Soporte de teléfono celular.,$9.10
14,ANILLO TELEFONO,"Soporte de teléfono celular de metal, que gira en 360 grados.",$8.95
15,ANILLO,"Anillo, diseño para hombres y mujeres",$8.68
16,CADENA CABEZA,"Cadena de cabeza Estilo Boho, decorada con colgantes de brillos.",$12.40
17,ACCESORIOS DE CABELLO,Anillos para el Cabello Estilo Hippie,$9.48
17,ACCESORIOS DE CABELLO,Anillos para el Cabello Estilo Hippie,$9.48
18,ACCESORIOS DE CABELLO,Anillos para el Cabello Estilo Hippie,$7.23
18,ACCESORIOS DE CABELLO,Anillos para el Cabello Estilo Hippie,$7.23
19,ANILLO,Anillo grande de flor con perla.,$7.98
